#Identifier;Alias;Reference;Reason
Invariant;iso-ir-170;ISO;ISO-IR lists this.
UTF_1;iso-ir-178;ISO;ISO-IR lists this, Wikipedia references this.
MacIntosh;ibm-1275;IBMCCS;IBMCCS lists this.
MacIntosh;cp1275;IBMCCS;IBMCCS lists this.
MacCentralEuropean;ibm-1282;IBMCCS;IBMCCS lists this.
MacCentralEuropean;cp1282;IBMCCS;IBMCCS lists this.
MacIcelandic;ibm-1286;IBMCCS;IBMCCS lists this.
MacIcelandic;cp1286;IBMCCS;IBMCCS lists this.
MacCroatian;ibm-1284;IBMCCS;IBMCCS lists this.
MacCroatian;cp1284;IBMCCS;IBMCCS lists this.
MacRomanian;ibm-1285;IBMCCS;IBMCCS lists this.
MacRomanian;cp1285;IBMCCS;IBMCCS lists this.
MacCyrillic;ibm-1283;IBMCCS;IBMCCS lists this.
MacCyrillic;cp1283;IBMCCS;IBMCCS lists this.
MacGreek;ibm-1280;IBMCCS;IBMCCS lists this.
MacGreek;cp1280;IBMCCS;IBMCCS lists this.
