#Identifier;DataSource;Alias;BelongsTo;Reason
#;Unicode stuff;;;
US_ASCII;IBM_ICU;iso_646.irv:1983;;ISO646.irv:1983 has nothing to do with US-ASCII, see IANA character-sets.txt.
US_ASCII;IBM_ICU;ISO646IRV1983;;ISO646.irv:1983 has nothing to do with US-ASCII, see IANA character-sets.txt.
US_ASCII;ORACLE_JAVA;iso_646.irv:1983;;ISO646.IRV:1983 has nothing to do with US-ASCII, IANA and RFC1345 distinguish them.
UTF_7;GNU_ICONV;UNICODE-1-1-UTF-7;UTF_7;UNICODE-1-1-UTF-7 and UTF-7 are different, see RFC1642 and RFC2152.
UTF_7;GNU_ICONV;csUnicode11UTF7;UTF_7;UNICODE-1-1-UTF-7 and UTF-7 are different, see RFC1642 and RFC2152.
UTF_7;GNU_ICONV;CP65000;UTF_7;UNICODE-1-1-UTF-7 and CP65000 (UTF-7) are different, see RFC1642 and RFC2152.
UTF_7;IBM_ICU;unicode-1-1-utf-7;;UNICODE-1-1-UTF-7 and UTF-7 are different, see RFC1642 and RFC2152.
UTF_16;IBM_ICU;ISO-10646-UCS-2;UCS_2;UTF-16 and UCS-2 are definitely _not_ the same.
UTF_16;IBM_ICU;unicode;UCS_2;UTF-16 and UCS-2 are definitely _not_ the same.
UTF_16;IBM_ICU;csUnicode;UCS_2;UTF-16 and UCS-2 are definitely _not_ the same.
UTF_16;IBM_ICU;ucs-2;UCS_2;UTF-16 and UCS-2 are definitely _not_ the same.
UTF_16;ORACLE_JAVA;unicode;UCS_2;UTF-16 ist not fixed to big endian order.
UTF_16;ORACLE_JAVA;UnicodeBig;UCS_2BE;UTF-16 ist not fixed to big endian order.
UTF_16LE;IBM_ICU;UnicodeLittle;UCS_2LE;UTF-16 and UnicodeBig/-Little aka UCS-2 are definitely _not_ the same.
UTF_16LE;IBM_ICU;UNICODELITTLE;UCS_2LE;UTF-16 and UnicodeBig/-Little aka UCS-2 are definitely _not_ the same.
UTF_16LE;ORACLE_JAVA;UnicodeLittle;UCS_2LE;UTF-16 and UnicodeBig/-Little aka UCS-2 are definitely _not_ the same.
UTF_16BE;IBM_ICU;UnicodeBig;UCS_2BE;UTF-16 and UnicodeBig/-Little aka UCS-2 are definitely _not_ the same.
UTF_16BE;IBM_ICU;cp1200;;UTF-16 and UnicodeBig/-Little aka UCS-2 are definitely _not_ the same.
UTF_16BE;IBM_ICU;cp1201;;UTF-16 and UnicodeBig/-Little aka UCS-2 are definitely _not_ the same.
UTF_16BE;ORACLE_JAVA;ISO-10646-UCS-2;UCS_2;UTF-16 and UnicodeBig/-Little aka UCS-2 are definitely _not_ the same.
UTF_16BE;ORACLE_JAVA;UnicodeBigUnmarked;UCS_2BE;UTF-16 and UnicodeBig/-Little aka UCS-2 are definitely _not_ the same.
UTF_32;IBM_ICU;ISO-10646-UCS-4;UCS_4;UTF-32 and UCS-4 are the same, but they will be treated as different character sets here.
UTF_32;IBM_ICU;csUCS4;UCS_4;UTF-32 and UCS-4 are the same, but they will be treated as different character sets here.
UTF_32;IBM_ICU;ucs-4;UCS_4;UTF-32 and UCS-4 are the same, but they will be treated as different character sets here.
UCS_2LE;MS;utf-16;;Microsoft lives in the little endian world. UTF-16 can be either of both endiannesses.
UCS_2BE;GNU_ICONV;UNICODE-1-1;;IANA treats UCS_2BE and UNICODE-1-1 as being different.
UCS_2BE;GNU_ICONV;csUnicode11;;IANA treats UCS_2BE and UNICODE-1-1 as being different.
UCS_4LE;MS;utf-32;;Microsoft lives in the little endian world. UTF-32 can be either of both endiannesses.
UCS_4BE;MS;utf-32BE;;This is not unique to UTF-32BE.
#;Standard stuff;;;
ISO_8859_6;IBM_ICU;ISO-8859-6-E;ISO_8859_6_E;ISO-8859-6 and ISO-8859-6-E are definitely _not_ the same. IANA distinguishes them.
ISO_8859_6;IBM_ICU;ISO-8859-6-I;ISO_8859_6_I;ISO-8859-6 and ISO-8859-6-I are definitely _not_ the same. IANA distinguishes them.
ISO_8859_7;ORACLE_JAVA;ibm-813;IBM813;IBM813 and ISO-8859-7 are not the same. ICU distinguishes them.
ISO_8859_7;ORACLE_JAVA;ibm813;IBM813;IBM813 and ISO-8859-7 are not the same. ICU distinguishes them.
ISO_8859_7;ORACLE_JAVA;cp813;IBM813;IBM813 and ISO-8859-7 are not the same. ICU distinguishes them.
ISO_8859_7;ORACLE_JAVA;813;IBM813;IBM813 and ISO-8859-7 are not the same. ICU distinguishes them.
ISO_8859_8;GNU_ICONV;CP38598;ISO_8859_8_I;Microsoft says this is ISO-8859-8-I, not ISO-8859-8.
ISO_8859_8;IBM_ICU;ISO-8859-8-E;ISO_8859_8_E;ISO-8859-8 and ISO-8859-8-E are definitely _not_ the same. IANA distinguishes them.
ISO_8859_8;IBM_ICU;ISO-8859-8-I;ISO_8859_8_I;ISO-8859-8 and ISO-8859-8-E are definitely _not_ the same. IANA distinguishes them.
ISO_8859_8;ORACLE_JAVA;ibm-916;IBM916;IBM916 and ISO-8859-8 are not the same. ICU distinguishes them.
ISO_8859_8;ORACLE_JAVA;ibm916;IBM916;IBM916 and ISO-8859-8 are not the same. ICU distinguishes them.
ISO_8859_8;ORACLE_JAVA;cp916;IBM916;IBM916 and ISO-8859-8 are not the same. ICU distinguishes them.
ISO_8859_8;ORACLE_JAVA;916;IBM916;IBM916 and ISO-8859-8 are not the same. ICU distinguishes them.
KOI8_RU;GNU_ICONV;CP21866;KOI8_U;Microsoft says this is KOI8-U, not KOI8-RU.
KOI8_R;IBM_ICU;koi8;;KOI8 and KOI8-R for russian alone are definitely _not_ the same.
KOI8_R;ORACLE_JAVA;koi8;;KOI8 and KOI8-R for russian alone are definitely _not_ the same.
#;ISO646 7 bit stuff;;;
NATS_DANO;IANA;ISOIR91;;Speciality for NATS-DANO* which simplified name conflicts with JIS_C6229-1984-* for the prefix ISO-IR-9:
NATS_DANO;GNU_ICONV;ISOIR91;;NATS-DANO/-ADD JIS_C6229-1984-a/b Simplified in both character sets
NATS_DANO_ADD;IANA;ISOIR92;;ISO-IR-9-1                  ISO-IR-91                      ISOIR91
NATS_DANO_ADD;GNU_ICONV;ISOIR92;;ISO-IR-9-2                  ISO-IR-92                      ISOIR92
#;Thai stuff;;;
TIS_620;IBM_ICU;cp874;;TIS-620 and CP874 aka Windows-874 are definitely _not_ the same, see ICU character sets.
TIS_620;IBM_ICU;ibm-874;;TIS-620 and IBM874 aka Windows-874 are definitely _not_ the same, see ICU character sets.
TIS_620;IBM_ICU;x-IBM874;;TIS-620 and x-IBM874 aka Windows-874 are definitely _not_ the same, see ICU character sets.
TIS_620;IANA;ISO-8859-11;;TIS-620 and ISO-8859-11 are definitely _not_ the same, because libiconv provides different converters.
Windows_874;IBM_ICU;TIS-620;;Windows_874 aka CP874 and TIS-620 are definitely _not_ the same, see ICU character sets.
HP_Thai8;GNU_ICONV;THAI8;;This is not unique to ISO-8859-11.
#;Chinese stuff;;;
GBK;IANA;CP936;;GBK and CP936, MS936 and windows-936 have are definitely _not_the same. GNU libiconv distinguishes them.
GBK;IANA;MS936;;GBK and CP936, MS936 and windows-936 have are definitely _not_the same. GNU libiconv distinguishes them.
GBK;IANA;windows-936;;GBK and CP936, MS936 and windows-936 have are definitely _not_the same. GNU libiconv distinguishes them.
GBK;IANA;CP936;;GBK and CP936 aka Windows-936 are not the same.
GBK;IANA;MS936;;GBK and MS936 aka Windows-936 are not the same. GNU ICONV distinguishes them.
GBK;IANA;windows-936;;GBK and Windows-936 are not the same. GNU ICONV distinguishes them.
GBK;ORACLE_JAVA;CP936;;GBK and CP936 aka Windows-936 are not the same. GNU ICONV distinguishes them.
GBK;ORACLE_JAVA;windows-936;;GBK and Windows-936 are not the same. GNU ICONV distinguishes them.
GB_2312;ORACLE_JAVA;gb2312-80;;GB2312-80 and GB2312 aka EUC-CN are definitely _not_ the same.
GB_2312;ORACLE_JAVA;gb2312-1980;;GB2312-80 and GB2312 aka EUC-CN are definitely _not_ the same.
ISO_2022_CN;IBM_ICU;x-ISO-2022-CN-GB;;ISO-2022-CN and x-ISO-2022-CN-GB are not the same. IANA distinguishes them.
Windows_936;MS;gb2312;;Windows-936 and GB2312 are not the same. IANA distinguishes them.
Windows_936_2000;IBM_ICU;CP936;;Windows-936-2000 and CP936 aka Windows-936 are not the same.
Windows_936_2000;IBM_ICU;MS936;;Windows-936-2000 and MS936 aka Windows-936 are not the same.
Windows_936_2000;IBM_ICU;windows-936;;Windows-936-2000 and Windows-936 are not the same.
Windows_936_2000;IBM_ICU;GBK;;Windows-936-2000 and GBK are not the same.
IBM950;IBM_ICU;cp950;CP950;IBM950 and CP950 are not the same.
