#Name;Identifier;Text;URL;Comment
UNDEFINED;Undefined;Used as a default value;;
IANA;IANA;Internet Assigned Numbers Authority;http://www.iana.org/assignments/character-sets;
IANAUNSPEC;IANAUnspecified;Dummy for aliases that IANA doesn't reference by others;;
ECMA;ECMA;ECMA Registry;;
ISO;ISO;ISO Registry;https://www.itscj.ipsj.or.jp/itscj_english/index.html;
ISOIR;ISOIR;ISO International Register;https://www.itscj.ipsj.or.jp/itscj_english/iso-ir/ISO-IR.pdf;
ISO10646;ISO10646;ISO 10646 Universal Coded Character Set (UCS);http://standards.iso.org/ittf/PubliclyAvailableStandards/index.html;
UNICODE31;Unicode31;Unicode 3.1 (2001);http://www.unicode.org;
UNICODEMAP;UnicodeMapping;Unicode Code Page Mappings;ftp://ftp.unicode.org/Public/MAPPINGS/;
UNICODEHIST;UnicodeHistory;History of Unicode;https://en.wikipedia.org/wiki/Unicode#Versions;
I18NGUY;I18NGUY;Internationalization Guy;http://www.i18nguy.com/unicode/codepages.html;
RFC1345;RFC1345;RFC 1345;;
RFC1428;RFC1428;RFC 1428;;
RFC1456;RFC1456;RFC 1456;;
RFC1468;RFC1468;RFC 1468;;
RFC1489;RFC1489;RFC 1489;;
RFC1554;RFC1554;RFC 1554;;
RFC1556;RFC1556;RFC 1556;;
RFC1557;RFC1557;RFC 1557;;
RFC1641;RFC1641;RFC 1641;;
RFC1642;RFC1642;RFC 1642;;
RFC1815;RFC1815;RFC 1815;;
RFC1842;RFC1842;RFC 1842;;
RFC1843;RFC1843;RFC 1843;;
RFC1922;RFC1922;"H. Zhu et al.: ""Chinese Character Encoding for Internet Messages"", University of Tsinghua, March 1996";http://www.ietf.org/rfc/rfc1922.txt;
RFC1947;RFC1947;"D. Spinellis: ""Greek Character Encoding for Electronic Mail Messages"", SENA S.A., May 1996";http://www.ietf.org/rfc/rfc1947.txt;
RFC2046;RFC2046;;http://www.ietf.org/rfc/rfc2046.txt;
RFC2152;RFC2152;RFC 2152;;
RFC2237;RFC2237;"K. Tamaru: ""Japanese Character Encoding for Internet Messages"", Microsoft Corporation, November 1997";http://www.ietf.org/rfc/rfc2237.txt;
RFC2279;RFC2279;RFC 2279;;
RFC2319;RFC2319;"KOI8-U Working Group: ""Ukrainian Character Set KOI8-U"", KOI8-U Working Group, April 1998";http://www.ietf.org/rfc/rfc2319.txt;
RFC2781;RFC2781;RFC 2781;;
RFC3629;RFC3629;RFC 3629;;
MIME;MIME;Multipurpose Internet Mail Extensions;https://tools.ietf.org/html/rfc5322;
ICU;ICU;IBM International Components for Unicode;http://www.icu-project.org;
ICUUNSPEC;ICUUnspecified;Dummy for aliases that IBM ICU doesn't reference by others;;
UNTAGGED;Untagged;IBM ICU untagged;http://www.icu-project.org;
GLIBC;GLIBC;GNU C/C++ runtime library;https://www.gnu.org/software/libc/;
LIBICONV;LIBICONV;GNU Iconv library;https://www.gnu.org/software/libiconv/;
ICONVUNSPEC;LIBICONVUnspecified;Dummy for aliases that GNU libiconv doesn't reference by others;;
JAVA;JAVA;Oracle Java;http://docs.oracle.com/javase/7/docs/technotes/guides/intl/encoding.doc.html;
