#DataSource;Alias;Reference
SELF;ISO-10646-UCS-Basic;ISO10646
SELF;csUnicodeASCII;ISO10646
SELF;ISO-10646-Unicode-Latin1;ISO10646
SELF;csUnicodeLatin1;ISO10646
SELF;ISO-10646;ISO10646
SELF;ISO-10646-J-1;ISO10646
SELF;csUnicodeJapanese;ISO10646
SELF;OSD_EBCDIC_DF04_15;BS2000
SELF;OSD_EBCDIC_DF03_IRV;BS2000
SELF;OSD_EBCDIC_DF04_1;BS2000
SELF;OSD_EBCDIC_DF04_15;F10479
SELF;OSD_EBCDIC_DF03_IRV;F10479
SELF;OSD_EBCDIC_DF04_1;F10479
SELF;CSN_36_9103;CSN
SELF;KOI7-switched;SOKOLOV
SELF;KOI8;SEGFAULT
SELF;KOI8-R;SEGFAULT
SELF;KOI8-U;SEGFAULT
SELF;KOI8-RU;SEGFAULT
SELF;IBM866;SEGFAULT
SELF;windows-1251;SEGFAULT
SELF;GOST_19768-74;SEGFAULT
SELF;KOI7-switched;SEGFAULT
SELF;ECMA-cyrillic;SEGFAULT
SELF;MacJapanese;MICROSOFT
SELF;MacChineseTraditional;MICROSOFT
SELF;MacKorean;MICROSOFT
SELF;MacChineseSimplified;MICROSOFT
SELF;INIS;IAEA
SELF;INIS-8;IAEA
SELF;INIS-cyrillic;IAEA
SELF;NSAI_433:1996;WIKIPEDIA
SELF;IS;WIKIPEDIA
SELF;MT;WIKIPEDIA
SELF;PL;WIKIPEDIA
SELF;TW;WIKIPEDIA
SELF;ELOT-927;WIKIPEDIA
SELF;SI-960;WIKIPEDIA
SELF;iso-ir-1;ISOIR
SELF;iso-ir-7;ISOIR
SELF;iso-ir-26;ISOIR
SELF;iso-ir-31;ISOIR
SELF;ISO-6937:2001;WIKIPEDIA
SELF;ISO_8859-9E;X11R67
SELF;ISO-8859-12;IANA
SELF;KPS9566_2003;WIKIPEDIA
SELF;Windows-Sami2;IANA
SELF;MacCeltic;IANA
SELF;MacDevanaga;IANA
SELF;MacFarsi;IANA
SELF;MacGaelic;IANA
SELF;MacGujarati;IANA
SELF;MacGurmukhi;IANA
SELF;MacInuit;IANA
SELF;MacSami;IANA
SELF;MacUnitedKingdom;IANA
SELF;EUC-JP-MS;IANA
SELF;EBCDIC-IS-FRISS;IANA
SELF;CP770;IANA
SELF;CP771;IANA
SELF;CP772;IANA
SELF;CP773;IANA
SELF;CP774;IANA
SELF;CWI;IANA
SELF;MIK;IANA
SELF;AdobeZapfDingbats;IANA
SELF;HP-Greek8;IANA
SELF;HP-Turkish8;IANA
SELF;HP-Roman9;IANA
SELF;HP-Thai8;IANA
SELF;ISIRI3342;IANA
SELF;ISO-IR-197;ISO
SELF;ISO-IR-209;ISO
